user_id,number,kind
9SH9V,+1-156-593-8778,work
8EBHM,(012)309-8910x13991,home
GZ97S,761-047-1428,home
GZ97S,001-977-658-2369x4022,work
GZ97S,(682)417-3042x814,mobile
55M8O,926-351-1087x317,home
55M8O,+1-729-668-7577x389,work
DG4JB,853-671-0979,home
WECC5,(696)116-1162,work
4WQIB,754-203-5574,home
4FLGR,004-689-6714x543,work
FCEQT,+1-763-778-5707x4270,work
FCEQT,904-432-9431,home
0N456,359.191.5587x540,work
0N456,530.481.0777x0677,mobile
CT9EA,8855902622,work
CT9EA,908-957-7403,mobile
A861D,+1-510-562-3762x5425,home
A861D,8298215323,work
OYWI5,+1-522-509-0925x54457,mobile
OYWI5,186.428.2129,home
1IN21,132.716.6446x59514,work
F1G3J,050.562.4629x2648,mobile
ZHZW5,+1-378-252-7808x185,work
JWXSS,+1-640-811-5517,home
JWXSS,(223)950-7603,mobile
BLIBV,(525)780-3429x546,mobile
LZAU3,+1-732-881-8202x86937,home
LZAU3,(538)707-9148x7867,work
E189I,001-503-006-8021x993,mobile
E189I,667.063.6094,work
K99E6,(646)198-5373,work
8XKTJ,001-835-288-9962x97939,home
8XKTJ,+1-931-864-5732x58576,work
ZW64O,656.016.9220x1630,home
IHMF3,+1-323-639-7524,home
IHMF3,1904124388,mobile
PW40B,+1-771-652-8037,work
PW40B,744.667.0285,mobile
YM05M,801-036-7465,mobile
X9W2Z,559-669-6849x3363,home
X9W2Z,803.471.0391x403,mobile
IJBH1,629.621.9127x416,work
IJBH1,(705)216-9303x6009,mobile
IJBH1,(197)444-3600,home
SHKRM,(122)069-1184,home
TGLI2,001-520-782-6497x3079,mobile
TGLI2,(643)343-8957x395,work
O0KP9,001-765-601-0524x987,work
T37DM,+1-085-327-5734,mobile
6F0TV,(373)611-8618x72033,work
6F0TV,131.829.3898x9696,mobile
RHW68,(852)185-5153,mobile
RHW68,+1-511-738-0091x74948,home
540AP,(270)670-4896x799,home
8X3PV,+1-736-160-4924x4818,mobile
8X3PV,(760)101-5348,work
XOFFF,1782369582,work
XOFFF,218.869.4316x0875,home
MGW5R,741.353.6095x227,mobile
VTFH5,(117)782-8125x68218,mobile
VTFH5,(439)129-6545x8500,home
VTFH5,202-553-1872x453,work
BF3QQ,001-991-640-4009,mobile
M54Q6,461.312.9727,mobile
PZG0D,547-532-7253x72189,home
QK2B9,864-702-5273x31276,home
QK2B9,001-665-953-5728x0720,work
F79ZR,(754)847-8565x64037,home
F79ZR,001-271-736-2108,work
VJL5E,(604)292-1687,work
VJL5E,954.224.3156,mobile
426K8,803.572.9330x3145,home
426K8,+1-892-864-0520x837,mobile
ILH54,685.221.4427x43893,mobile
ILH54,217.675.9472x40617,home
O9MC8,001-817-897-4591x3064,mobile
O9MC8,5535556306,home
9FRBB,+1-469-807-9936,mobile
9FRBB,165-015-9183x90004,work
9FRBB,450.999.4151x2674,home
ZNF0R,4689415795,work
ZNF0R,001-183-085-2397x876,home
HHYUU,195-516-3594x23829,home
L72RV,(076)910-6493,home
VOV5J,001-920-124-9442,work
VOV5J,+1-418-800-5697x5931,home
VR7T2,+1-101-551-9413x4911,work
VR7T2,633.915.2417,home
VR7T2,622-987-1395x940,mobile
GIJNW,001-803-996-4112x12833,mobile
F9R3A,148.835.4386,work
T21O4,480-679-2020x865,mobile
T21O4,231.881.8386x5439,work
U29GK,(256)384-5548,work
G6UPG,6793140279,home
7D3PZ,+1-953-000-0351x14470,mobile
WBPAX,1616279949,work
WBPAX,001-087-764-7599x81290,home
Z0XGU,3413413239,mobile
DGIQS,+1-342-337-3345x39521,work
A7G8C,+1-354-272-5332x967,work
A7G8C,+1-309-766-7341x57659,mobile
08KUN,012-874-2113x983,work
3KCKA,001-649-823-0713x74944,home
